sample_ID	sex
NA1	M
NA2	F
NA3	F
NA4	M
NA5	F
NA6	M
NA7	M
NA8	M
NA9	M
NA10	M
NA11	M
NA12	F
NA14	F
NA16	F
NA17	M
NA18	F
NA19	F
NA20	M
NA21	F
NA22	F
NA23	F
NA24	F
NA25	F
NA26	M
NA27	M
NA28	M
NA29	M
NA30	F
NA31	F
NA32	F
NA33	F
NA34	M
NA35	F
NA36	F
NA37	M
NA38	F
NA39	M
NA40	F
NA41	F
NA42	F
NA43	M
NA44	F
NA45	F
NA46	M
NA47	M
NA48	M
NA49	M
NA51	F
NA52	F
NA53	F
NA54	F
NA55	F
NA57	F
NA58	F
NA59	F
NA60	F
NA61	F
NA62	M
NA63	F
NA64	F
NA65	M
NA66	M
NA67	M
NA68	M
NA69	M
NA70	M
NA71	M
NA72	M
NA73	F
NA74	F
NA75	M
NA76	F
NA77	F
NA78	F
NA79	F
NA80	F
NA81	M
NA82	F
NA83	F
NA84	M
NA85	F
NA86	F
NA87	F
NA88	M
NA89	M
NA90	M
NA91	M
NA92	M
NA93	M
NA94	M
NA95	F
NA96	F
NA98	F
NA99	F
NA100	F
