sample_ID	age
NA1	43
NA2	33
NA3	39
NA4	48
NA5	42
NA6	41
NA8	21
NA9	44
NA10	35
NA11	37
NA12	44
NA13	18
NA14	26
NA15	34
NA16	48
NA17	46
NA18	45
NA19	41
NA20	38
NA21	51
NA22	48
NA24	41
NA25	52
NA26	34
NA27	48
NA28	17
NA29	28
NA30	47
NA31	45
NA32	47
NA33	39
NA34	39
NA35	22
NA36	35
NA37	37
NA38	52
NA39	35
NA40	28
NA41	32
NA42	38
NA43	60
NA44	59
NA45	61
NA46	31
NA47	48
NA48	51
NA49	22
NA50	26
NA51	32
NA53	48
NA54	50
NA55	50
NA56	50
NA58	40
NA59	39
NA60	54
NA61	42
NA62	35
NA63	62
NA64	31
NA65	39
NA66	37
NA67	62
NA68	49
NA69	39
NA70	36
NA71	51
NA72	39
NA73	51
NA74	38
NA75	41
NA76	31
NA77	40
NA78	42
NA79	44
NA80	51
NA81	32
NA82	21
NA83	36
NA84	46
NA85	50
NA86	23
NA87	54
NA88	48
NA89	40
NA90	23
NA92	46
NA93	37
NA94	27
NA95	48
NA96	27
NA97	49
NA98	23
NA99	35
NA100	42
