sample_ID	height
NA1	155
NA2	193
NA4	177
NA5	190
NA6	171
NA7	138
NA8	177
NA9	158
NA10	202
NA11	197
NA12	178
NA13	163
NA14	165
NA15	153
NA16	155
NA18	155
NA19	161
NA20	200
NA21	194
NA22	154
NA23	125
NA24	146
NA25	178
NA26	140
NA27	176
NA28	184
NA29	163
NA30	162
NA31	184
NA32	177
NA33	168
NA34	182
NA35	203
NA37	145
NA38	166
NA39	166
NA40	136
NA41	198
NA42	174
NA43	191
NA44	145
NA45	175
NA46	159
NA47	166
NA48	168
NA49	143
NA50	179
NA51	176
NA52	170
NA53	209
NA54	202
NA55	195
NA56	153
NA57	168
NA58	162
NA59	194
NA60	179
NA61	161
NA62	215
NA63	138
NA64	158
NA65	179
NA66	157
NA67	192
NA68	205
NA69	174
NA70	170
NA71	188
NA72	165
NA73	177
NA74	150
NA75	184
NA76	163
NA77	195
NA78	195
NA79	169
NA80	179
NA81	168
NA82	174
NA83	164
NA84	168
NA85	184
NA86	184
NA87	152
NA88	164
NA89	169
NA90	179
NA91	168
NA92	139
NA93	183
NA94	207
NA95	181
NA96	182
NA98	151
NA99	172
