sample_ID	GT
NA1	AA
NA2	AA
NA3	AT
NA4	AA
NA5	AA
NA6	TT
NA7	AA
NA8	AA
NA9	AA
NA10	TT
NA11	AA
NA12	AT
NA13	AT
NA14	AT
NA15	TT
NA16	AA
NA17	AT
NA18	AT
NA19	AT
NA20	TT
NA21	AT
NA22	AT
NA23	AA
NA24	AT
NA25	TT
NA26	AT
NA27	AA
NA28	AT
NA29	TT
NA30	AT
NA31	AA
NA32	AT
NA33	AT
NA34	AT
NA35	AT
NA36	AT
NA37	TT
NA38	AT
NA39	AT
NA40	AA
NA41	AT
NA42	AT
NA43	AT
NA44	AA
NA45	AT
NA46	AT
NA47	AT
NA48	AA
NA49	AT
NA50	AT
NA51	AT
NA52	TT
NA54	AT
NA55	AT
NA56	AA
NA58	AT
NA59	TT
NA60	AA
NA61	AT
NA62	AA
NA63	AT
NA64	AT
NA65	AA
NA66	AT
NA67	AT
NA68	AT
NA69	AT
NA70	AT
NA71	AT
NA72	AA
NA73	TT
NA76	AT
NA77	AT
NA78	TT
NA79	AT
NA80	TT
NA81	AT
NA82	AT
NA83	AA
NA84	AT
NA85	AT
NA86	AT
NA87	AT
NA88	AT
NA89	AT
NA90	AT
NA92	AT
NA93	AT
NA94	AT
NA95	AA
NA96	AT
NA97	TT
NA98	TT
NA99	AA
NA100	AA
